icd9in,icd9un,icd10in,icd10un
,E857.01,,V69.0 
,E857.02,,V69.1 
,E857.03,,V69.2 
,E857.04,,V69.3 
,E857.05,,V69.4 
,E857.06,,V69.5 
,E857.07,,V69.6 
,E857.08,,V69.8 
,E857.09,,V69.9 
,E858,,V70 
,E858.0,,V70.0
,E858.00,,V70.1
,E858.01,,V70.2
,E858.02,,V70.3
,E858.03,,V70.4
,E858.04,,V70.5
,E858.05,,V70.6
,E858.06,,V70.7
,E858.07,,V70.9
,E858.08,,V71 
,E858.09,,V71.0
,E858.1,,V71.1
,E858.10,,V71.2
,E858.11,,V71.3
,E858.12,,V71.4
,E858.13,,V71.5
,E858.14,,V71.6
,E858.15,,V71.7
,E858.16,,V71.9
,E858.17,,V72 
,E858.18,,V72.0
,E858.19,,V72.1
,E858.2,,V72.2
,E858.20,,V72.3
,E858.21,,V72.4
,E858.22,,V72.5
,E858.23,,V72.6
,E858.24,,V72.7
,E858.25,,V72.9
,E858.26,,V73 
,E858.27,,V73.0
,E858.28,,V73.1
,E858.29,,V73.2
,E858.3,,V73.3
,E858.30,,V73.4
,E858.31,,V73.5
,E858.32,,V73.6
,E858.33,,V73.7
,E858.34,,V73.9
,E858.35,,V74 
,E858.36,,V74.0
,E858.37,,V74.1
,E858.38,,V74.2
,E858.39,,V74.3
,E858.4,,V74.4
,E858.40,,V74.5
,E858.41,,V74.6
,E858.42,,V74.7
,E858.43,,V74.9
,E858.44,,V75 
,E858.45,,V75.0
,E858.46,,V75.1
,E858.47,,V75.2
,E858.48,,V75.3
,E858.49,,V75.4
,E858.5,,V75.5
,E858.50,,V75.6
,E858.51,,V75.7
,E858.52,,V75.9
,E858.53,,V76 
,E858.54,,V76.0
,E858.55,,V76.1
,E858.56,,V76.2
,E858.57,,V76.3
,E858.58,,V76.4
,E858.59,,V76.5
,E858.6,,V76.6
,E858.60,,V76.7
,E858.61,,V76.9
,E858.62,,V77 
,E858.63,,V77.0
,E858.64,,V77.1
,E858.65,,V77.2
,E858.66,,V77.3
,E858.67,,V77.4
,E858.68,,V77.5
,E858.69,,V77.6
,E858.7,,V77.7
,E858.70,,V77.9
,E858.71,,V78 
,E858.72,,V78.0
,E858.73,,V78.1
,E858.74,,V78.2
,E858.75,,V78.3
,E858.76,,V78.4
,E858.77,,V78.5
,E858.78,,V78.6
,E858.79,,V78.7
,E858.8,,V78.9
,E858.80,,V79 
,E858.81,,V79.0 
,E858.82,,V79.1 
,E858.83,,V79.2 
,E858.84,,V79.3 
,E858.85,,V79.4 
,E858.86,,V79.5 
,E858.87,,V79.6 
,E858.88,,V79.8 
,E858.89,,V79.9 
,E858.9,,V80 
,E858.90,,V80.0 
,E858.91,,V80.1 
,E858.92,,V80.2 
,E858.93,,V80.3 
,E858.94,,V80.4 
,E858.95,,V80.5 
,E858.96,,V80.6 
,E858.97,,V80.7 
,E858.98,,V80.8 
,E858.99,,V80.9 
,E860.2,,V81 
,E860.20,,V81.0 
,E860.21,,V81.1 
,E860.22,,V81.2 
,E860.23,,V81.3 
,E860.24,,V81.4 
,E860.25,,V81.5 
,E860.26,,V81.6 
,E860.27,,V81.7 
,E860.28,,V81.8 
,E860.29,,V81.9 
,E860.3,,V82 
,E860.30,,V82.0 
,E860.31,,V82.1 
,E860.32,,V82.2 
,E860.33,,V82.3 
,E860.34,,V82.4 
,E860.35,,V82.5 
,E860.36,,V82.6 
,E860.37,,V82.7 
,E860.38,,V82.8 
,E860.39,,V82.9 
,E860.4,,V83 
,E860.40,,V83.0 
