"stateFips","sex","age","year","pop.new"
"38",1,5,2015,25559
"25",2,60,2015,218515
"41",2,0,2015,112563
"21",2,10,2015,137379
"01",1,15,2015,162214
"21",2,5,2015,137039
"45",1,30,2015,151056
"21",2,0,2015,134659
"21",1,85,2015,25360
"51",2,65,2015,218960
"21",1,80,2015,32102
"42",2,35,2015,370934
"21",1,65,2015,111281
"47",2,50,2015,238317
"44",1,55,2015,37325
"21",1,60,2015,132334
"10",1,30,2015,29296
"28",2,30,2015,98336
"11",2,75,2015,7332
"21",1,50,2015,154875
"53",2,5,2015,222495
"26",1,25,2015,319804
"21",1,45,2015,143139
"09",2,5,2015,100737
"21",1,40,2015,140328
"21",1,35,2015,139224
"40",2,70,2015,76364
"21",1,30,2015,140315
"21",1,20,2015,160799
"21",1,10,2015,144142
"53",2,75,2015,89610
"16",2,60,2015,49960
"21",1,0,2015,142730
"55",2,65,2015,152107
"30",2,55,2015,39513
"54",1,40,2015,58253
"11",1,25,2015,36146
"25",2,25,2015,243192
"20",2,85,2015,42371
"06",1,65,2015,824609
"20",2,75,2015,39606
"20",2,50,2015,97015
"20",2,40,2015,82488
"20",2,30,2015,96269
"37",1,60,2015,280519
"20",2,20,2015,104470
"33",1,5,2015,36033
"24",2,60,2015,189683
"40",2,0,2015,130887
"20",2,10,2015,97274
"20",2,5,2015,98943
"53",2,15,2015,213972
"39",1,30,2015,359776
"20",2,0,2015,96103
"20",1,85,2015,22254
"37",2,35,2015,323746
"20",1,65,2015,67066
"42",1,55,2015,464549
"41",2,50,2015,133089
"20",1,60,2015,84200
"09",1,30,2015,109792
"23",2,30,2015,38279
"19",2,50,2015,106513
"20",1,55,2015,95463
"05",2,75,2015,46697
"20",1,50,2015,95182
"21",1,25,2015,145312
"20",1,45,2015,84720
"02",2,5,2015,25045
"20",1,40,2015,84116
"20",1,35,2015,91487
"35",2,70,2015,43051
"20",1,30,2015,100149
"20",1,20,2015,118714
"10",2,60,2015,32407
"20",1,0,2015,101377
"29",2,55,2015,220597
"53",1,40,2015,228774
"10",1,25,2015,33173
"28",2,25,2015,101131
"12",2,15,2015,575780
"20",2,70,2015,51854
"19",2,85,2015,52972
"02",1,75,2015,5326
"19",2,80,2015,39052
"05",1,65,2015,74853
"19",2,75,2015,47992
"19",2,40,2015,87961
"04",1,30,2015,229254
"19",2,30,2015,97990
"40",1,60,2015,109029
"19",2,20,2015,112274
"36",1,5,2015,581992
"23",2,60,2015,51799
"39",2,0,2015,338315
"19",2,10,2015,99291
"19",2,5,2015,100572
"56",2,15,2015,17491
"42",1,30,2015,403334
"19",2,0,2015,96029
"19",1,85,2015,26214
"49",2,65,2015,54603
"19",1,80,2015,27244
"40",2,35,2015,120820
"19",1,65,2015,77001
"45",2,50,2015,175779
"41",1,55,2015,132502
"19",1,60,2015,97384
"08",1,30,2015,210188
"26",2,30,2015,295939
"09",2,75,2015,51294
"19",1,50,2015,105532
"24",1,25,2015,211901
"19",1,45,2015,94505
"06",2,5,2015,1243213
"19",1,40,2015,90041
"19",1,35,2015,95592
"38",2,70,2015,12045
"19",1,30,2015,102589
"19",1,20,2015,118818
"19",1,10,2015,103863
"13",2,60,2015,296578
"19",1,0,2015,100752
"18",2,80,2015,69756
"54",1,0,2015,52731
"27",1,50,2015,197465
"18",2,75,2015,92143
"27",1,15,2015,181561
"18",2,65,2015,171236
"21",2,65,2015,122788
"47",1,80,2015,48016
"15",1,55,2015,45506
"18",2,50,2015,232951
"27",1,70,2015,88480
"18",2,45,2015,209470
"18",2,40,2015,206345
"19",1,25,2015,97884
"44",1,0,2015,28162
"18",2,35,2015,204909
"21",2,70,2015,88886
"18",2,15,2015,223275
"02",2,15,2015,22612
"18",2,10,2015,218130
"25",1,75,2015,73054
"18",2,0,2015,204271
"18",1,85,2015,42116
"20",2,55,2015,99320
"18",1,80,2015,47386
"32",2,80,2015,24088
"18",1,75,2015,72340
"18",1,70,2015,106424
"18",1,60,2015,193057
"46",1,80,2015,7380
"17",2,50,2015,457863
"18",1,55,2015,224287
"18",1,50,2015,227291
"24",2,55,2015,222494
"04",1,25,2015,242183
"19",2,25,2015,93046
"46",1,25,2015,29018
"18",1,45,2015,209262
"46",1,70,2015,14429
"18",1,40,2015,206237
"49",1,45,2015,79446
"19",1,15,2015,110048
"18",1,35,2015,205565
"31",2,30,2015,63840
"18",1,30,2015,211125
"50",1,5,2015,16632
"40",2,60,2015,117670
"01",2,85,2015,57861
"20",2,35,2015,88022
"18",1,20,2015,245959
"28",1,5,2015,105335
"35",2,5,2015,68559
"18",1,15,2015,233769
"02",2,60,2015,20777
"18",1,5,2015,223803
"18",1,0,2015,215219
"18",2,70,2015,124789
"33",2,35,2015,36833
"17",2,85,2015,173306
"17",2,80,2015,133456
"53",1,0,2015,229507
"30",1,50,2015,34439
