"cause","cause.sub","icd"
"W840","Other external causes of injury",10
"W850","Other external causes of injury",10
"W860","Other external causes of injury",10
"W870","Other external causes of injury",10
"W890","Other external causes of injury",10
"W920","Other external causes of injury",10
"W930","Other external causes of injury",10
"W940","Other external causes of injury",10
"W990","Other external causes of injury",10
"X000","Other external causes of injury",10
"X010","Other external causes of injury",10
"X020","Other external causes of injury",10
"X030","Other external causes of injury",10
"X040","Other external causes of injury",10
"X050","Other external causes of injury",10
"X060","Other external causes of injury",10
"X080","Other external causes of injury",10
"X090","Other external causes of injury",10
"X100","Other external causes of injury",10
"X110","Other external causes of injury",10
"X120","Other external causes of injury",10
"X130","Other external causes of injury",10
"X140","Other external causes of injury",10
"X150","Other external causes of injury",10
"X160","Other external causes of injury",10
"X170","Other external causes of injury",10
"X180","Other external causes of injury",10
"X190","Other external causes of injury",10
"X200","Other external causes of injury",10
"X210","Other external causes of injury",10
"X220","Other external causes of injury",10
"X230","Other external causes of injury",10
"X240","Other external causes of injury",10
"X250","Other external causes of injury",10
"X260","Other external causes of injury",10
"X280","Other external causes of injury",10
"X290","Other external causes of injury",10
"X320","Other external causes of injury",10
"X330","Other external causes of injury",10
"X340","Other external causes of injury",10
"X349","Other external causes of injury",10
"X350","Other external causes of injury",10
"X360","Other external causes of injury",10
"X370","Other external causes of injury",10
"X380","Other external causes of injury",10
"X390","Other external causes of injury",10
"X400","Other external causes of injury",10
"X430","Other external causes of injury",10
"X440","Other external causes of injury",10
"X460","Other external causes of injury",10
"X470","Other external causes of injury",10
"X480","Other external causes of injury",10
"X500","Other external causes of injury",10
"X510","Other external causes of injury",10
"X520","Other external causes of injury",10
"X530","Other external causes of injury",10
"X540","Other external causes of injury",10
"X570","Other external causes of injury",10
"X580","Other external causes of injury",10
"X590","Other external causes of injury",10
"X599","Other external causes of injury",10
"Y100","Other external causes of injury",10
"Y110","Other external causes of injury",10
"Y120","Other external causes of injury",10
"Y130","Other external causes of injury",10
"Y140","Other external causes of injury",10
"Y150","Other external causes of injury",10
"Y160","Other external causes of injury",10
"Y170","Other external causes of injury",10
"Y180","Other external causes of injury",10
"Y190","Other external causes of injury",10
"Y200","Other external causes of injury",10
"Y210","Other external causes of injury",10
"Y220","Other external causes of injury",10
"Y230","Other external causes of injury",10
"Y240","Other external causes of injury",10
"Y250","Other external causes of injury",10
"Y260","Other external causes of injury",10
"Y270","Other external causes of injury",10
"Y280","Other external causes of injury",10
"Y290","Other external causes of injury",10
"Y300","Other external causes of injury",10
"Y310","Other external causes of injury",10
"Y320","Other external causes of injury",10
"Y330","Other external causes of injury",10
"Y340","Other external causes of injury",10
"Y400","Other external causes of injury",10
"Y401","Other external causes of injury",10
"Y402","Other external causes of injury",10
"Y403","Other external causes of injury",10
"Y404","Other external causes of injury",10
"Y405","Other external causes of injury",10
"Y406","Other external causes of injury",10
"Y407","Other external causes of injury",10
"Y408","Other external causes of injury",10
"Y409","Other external causes of injury",10
"Y410","Other external causes of injury",10
"Y411","Other external causes of injury",10
"Y412","Other external causes of injury",10
"Y414","Other external causes of injury",10
"Y415","Other external causes of injury",10
"Y418","Other external causes of injury",10
"Y419","Other external causes of injury",10
"Y420","Other external causes of injury",10
"Y421","Other external causes of injury",10
"Y422","Other external causes of injury",10
"Y423","Other external causes of injury",10
"Y424","Other external causes of injury",10
"Y425","Other external causes of injury",10
"Y426","Other external causes of injury",10
"Y427","Other external causes of injury",10
"Y428","Other external causes of injury",10
"Y429","Other external causes of injury",10
"Y430","Other external causes of injury",10
"Y431","Other external causes of injury",10
"Y433","Other external causes of injury",10
"Y434","Other external causes of injury",10
"Y435","Other external causes of injury",10
"Y436","Other external causes of injury",10
"Y439","Other external causes of injury",10
"Y440","Other external causes of injury",10
"Y441","Other external causes of injury",10
"Y442","Other external causes of injury",10
"Y443","Other external causes of injury",10
"Y445","Other external causes of injury",10
"Y446","Other external causes of injury",10
"Y447","Other external causes of injury",10
"Y449","Other external causes of injury",10
"Y450","Other external causes of injury",10
"Y451","Other external causes of injury",10
"Y452","Other external causes of injury",10
"Y453","Other external causes of injury",10
"Y454","Other external causes of injury",10
"Y455","Other external causes of injury",10
"Y458","Other external causes of injury",10
"Y459","Other external causes of injury",10
"Y461","Other external causes of injury",10
"Y462","Other external causes of injury",10
"Y464","Other external causes of injury",10
"Y465","Other external causes of injury",10
"Y466","Other external causes of injury",10
"Y467","Other external causes of injury",10
"Y468","Other external causes of injury",10
"Y470","Other external causes of injury",10
"Y471","Other external causes of injury",10
"Y472","Other external causes of injury",10
"Y478","Other external causes of injury",10
"Y479","Other external causes of injury",10
"Y480","Other external causes of injury",10
"Y481","Other external causes of injury",10
"Y482","Other external causes of injury",10
"Y483","Other external causes of injury",10
"Y484","Other external causes of injury",10
"Y485","Other external causes of injury",10
"Y490","Other external causes of injury",10
"Y491","Other external causes of injury",10
"Y492","Other external causes of injury",10
"Y493","Other external causes of injury",10
"Y494","Other external causes of injury",10
"Y495","Other external causes of injury",10
"Y497","Other external causes of injury",10
